obs_id,fare_id,info_id,journey_date,departure_time,arrival_time,arrival_day_offset,duration_minutes,total_stops,price
1,1,1,2019-03-24,22:20,01:10,1,170,0,3897.0
2,2,1,2019-05-01,05:50,13:15,0,445,2,7662.0
3,3,1,2019-06-09,09:25,04:25,1,1140,2,13882.0
4,4,1,2019-05-12,18:05,23:30,0,325,1,6218.0
5,1,1,2019-03-01,16:50,21:35,0,285,1,13302.0
6,5,1,2019-06-24,09:00,11:25,0,145,0,3873.0
7,6,2,2019-03-12,18:55,10:25,1,930,1,11087.0
8,6,1,2019-03-01,08:00,05:05,1,1265,1,22270.0
9,6,2,2019-03-12,08:55,10:25,1,1530,1,11087.0
10,7,1,2019-05-27,11:25,19:15,0,470,1,8625.0
11,8,1,2019-06-01,09:45,23:00,0,795,1,8907.0
12,4,1,2019-04-18,20:20,22:55,0,155,0,4174.0
13,9,1,2019-06-24,11:40,13:55,0,135,0,4667.0
14,10,2,2019-05-09,21:10,09:20,1,730,1,9663.0
15,4,1,2019-04-24,17:15,19:50,0,155,0,4804.0
16,8,1,2019-03-03,16:40,19:15,1,1595,2,14011.0
17,11,1,2019-04-15,08:45,13:15,0,270,1,5830.0
18,3,2,2019-06-12,14:00,12:35,1,1355,1,10262.0
19,8,1,2019-06-12,20:15,19:15,1,1380,2,13381.0
20,3,2,2019-05-27,16:00,12:35,1,1235,1,12898.0
21,12,1,2019-03-06,14:10,19:20,0,310,1,19495.0
22,13,1,2019-03-21,22:00,13:20,1,920,1,6955.0
23,1,1,2019-04-03,04:00,06:50,0,170,0,3943.0
24,1,1,2019-05-01,18:55,21:50,0,175,0,4823.0
25,10,2,2019-05-06,18:55,08:15,1,800,1,7757.0
26,3,1,2019-06-09,21:25,12:35,1,910,2,13292.0
27,14,1,2019-06-01,21:50,03:35,1,345,1,8238.0
28,12,1,2019-05-15,07:00,12:55,0,355,1,7682.0
29,15,1,2019-06-18,09:45,12:35,0,170,0,4668.0
30,16,1,2019-06-15,07:05,09:20,0,135,0,3687.0
31,16,1,2019-06-18,07:05,09:20,0,135,0,3687.0
32,2,1,2019-05-01,09:50,23:15,0,805,2,13227.0
33,1,1,2019-04-06,04:00,06:50,0,170,0,4423.0
34,3,2,2019-06-15,14:35,12:35,1,1320,2,10919.0
35,3,2,2019-05-18,07:05,12:35,0,330,1,12373.0
36,14,1,2019-06-27,10:35,21:00,0,625,1,5894.0
37,5,1,2019-05-21,15:05,20:20,0,315,1,4649.0
38,2,1,2019-05-18,14:15,16:45,0,150,0,6245.0
39,6,1,2019-03-06,07:00,13:15,0,375,1,19225.0
40,3,1,2019-06-03,07:05,19:00,0,715,1,14924.0
41,7,1,2019-05-21,07:05,18:10,0,665,1,9646.0
42,13,1,2019-03-15,06:45,15:15,0,510,1,8714.0
43,3,2,2019-05-18,20:55,19:00,1,1325,1,12373.0
44,17,1,2019-05-06,11:10,13:55,0,165,0,3383.0
45,7,1,2019-03-21,09:00,21:00,0,720,1,13062.0
46,18,3,2019-03-24,05:45,08:35,0,170,0,3527.0
47,1,1,2019-05-27,04:00,06:50,0,170,0,3943.0
48,9,1,2019-05-03,11:40,13:55,0,135,0,4667.0
49,2,1,2019-05-15,19:00,11:05,1,965,1,6117.0
50,3,2,2019-06-27,23:05,19:00,1,1195,2,11150.0
51,3,2,2019-03-09,11:00,14:15,0,195,0,7202.0
52,10,1,2019-05-01,09:35,10:55,1,1520,1,12121.0
53,1,1,2019-03-24,22:20,01:10,1,170,0,4377.0
54,1,1,2019-06-18,21:15,00:15,1,180,0,3943.0
55,17,1,2019-04-03,23:55,02:45,1,170,0,4483.0
56,10,1,2019-03-24,19:45,12:00,1,975,1,14231.0
57,13,1,2019-03-01,08:50,23:55,0,905,2,17345.0
58,16,1,2019-03-06,07:05,09:20,0,135,0,7414.0
59,7,1,2019-05-06,19:00,01:30,1,390,1,8073.0
60,19,1,2019-03-06,15:40,16:45,1,1505,1,12395.0
61,2,1,2019-06-06,09:25,21:50,0,745,1,8366.0
62,8,1,2019-04-03,06:05,09:25,1,1640,1,5117.0
63,7,1,2019-06-03,08:45,19:00,0,615,1,12524.0
64,14,1,2019-05-15,15:00,01:30,1,630,1,7191.0
65,16,1,2019-05-24,07:05,09:20,0,135,0,3687.0
66,14,1,2019-06-24,10:35,21:00,0,625,1,5894.0
67,15,1,2019-04-24,09:45,12:35,0,170,0,5403.0
68,20,1,2019-05-06,13:55,15:25,0,90,0,3625.0
69,8,1,2019-05-21,05:55,19:15,0,800,2,10861.0
70,21,1,2019-03-12,13:20,15:35,0,135,0,6297.0
71,22,1,2019-06-01,07:05,08:30,0,85,0,5678.0
72,6,2,2019-03-09,05:45,08:15,1,1590,1,9134.0
73,7,2,2019-06-24,11:40,19:00,0,440,1,10791.0
74,3,1,2019-06-24,23:05,12:35,1,810,2,12819.0
75,14,1,2019-03-21,05:05,10:05,0,300,1,6893.0
76,15,1,2019-03-09,09:50,12:35,0,165,0,7240.0
77,23,1,2019-04-03,11:40,14:30,0,170,0,3898.0
78,24,1,2019-04-03,06:25,07:55,0,90,0,4049.0
79,3,2,2019-06-15,17:30,12:35,1,1145,1,10262.0
80,25,3,2019-03-21,08:20,10:35,0,135,0,3332.0
81,10,2,2019-06-09,21:10,12:00,1,890,1,10844.0
82,6,1,2019-03-24,19:55,22:35,0,160,0,7229.0
83,10,1,2019-05-06,06:30,04:40,1,1330,1,13941.0
84,14,1,2019-06-27,11:25,21:00,0,575,1,5894.0
85,7,1,2019-05-18,09:00,19:00,0,600,1,10197.0
86,6,2,2019-03-06,14:05,11:25,1,1280,1,13712.0
87,14,1,2019-06-24,02:00,07:25,0,325,1,5636.0
88,3,1,2019-06-06,09:40,04:25,1,1125,2,13014.0
89,10,2,2019-04-01,08:25,20:45,0,740,1,7064.0
90,10,2,2019-05-24,20:25,14:25,1,1080,1,10703.0
91,7,1,2019-05-27,13:15,22:30,0,555,1,9646.0
92,7,1,2019-03-06,02:15,13:20,0,665,1,17057.0
93,6,1,2019-03-12,16:55,10:25,1,1050,1,13817.0
94,8,1,2019-03-06,05:55,19:15,0,800,2,13748.0
95,2,1,2019-04-21,20:45,23:20,0,155,0,4880.0
96,21,1,2019-06-21,05:15,07:40,0,145,0,3540.0
97,18,3,2019-05-15,05:55,08:35,0,160,0,3257.0
98,6,2,2019-06-03,19:50,22:50,0,180,0,6478.0
99,22,1,2019-06-18,07:05,08:30,0,85,0,8040.0
100,3,1,2019-06-12,20:00,12:35,1,995,2,14300.0
101,10,1,2019-05-15,08:25,20:45,0,740,1,14781.0
102,10,1,2019-06-09,20:00,08:15,1,735,1,14939.0
103,3,2,2019-06-24,20:55,04:25,1,450,1,10262.0
104,2,1,2019-05-12,14:35,14:35,1,1440,1,6528.0
105,13,1,2019-05-01,06:10,08:55,0,165,0,6121.0
106,3,2,2019-05-18,19:30,04:25,1,535,2,13029.0
107,7,1,2019-03-27,11:40,18:50,0,430,1,11421.0
108,7,1,2019-03-27,04:45,19:15,0,870,1,7574.0
109,8,1,2019-05-09,12:55,19:15,1,1820,2,11596.0
110,3,1,2019-05-24,23:05,19:00,1,1195,2,15129.0
111,6,1,2019-03-18,14:05,05:05,1,900,1,13555.0
112,1,1,2019-04-12,18:55,21:50,0,175,0,5780.0
113,26,1,2019-05-12,20:20,09:05,1,765,1,9397.0
114,3,1,2019-03-06,18:15,04:25,1,610,1,17024.0
